variant,align_mode,nrmse_median,nrmse_p90,nrmse_mean,ks_median,ks_p90,ks_mean,spearman_median,spearman_p90,spearman_mean,agreement_median,agreement_p90,agreement_mean,jsd_median,jsd_p90,jsd_mean
add,stability,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
add,strict,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
address_split,stability,0.0,0.1,0.12,0.0,0.03,0.03,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
address_split,strict,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
baseline,stability,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
baseline,strict,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
drop,stability,0.0,0.9,0.4,0.0,0.35,0.1,1.0,1.0,0.92,1.0,1.0,0.97,0.0,0.02,0.01
drop,strict,0.0,0.0,0.03,0.0,0.0,0.01,1.0,1.0,0.98,1.0,1.0,1.0,0.0,0.0,0.0
meaning,stability,0.03,1.38,2.0,0.0,0.78,0.16,1.0,1.0,0.91,1.0,1.0,0.94,0.0,0.01,0.01
meaning,strict,0.01,1.38,1.97,0.0,0.75,0.15,1.0,1.0,0.91,1.0,1.0,0.94,0.0,0.02,0.01
rename,stability,0.11,1.08,0.63,0.06,0.55,0.2,0.99,1.0,0.84,1.0,1.0,0.95,0.0,0.02,0.01
rename,strict,0.0,0.04,0.06,0.0,0.01,0.02,1.0,1.0,0.96,1.0,1.0,1.0,0.0,0.0,0.0
type,stability,0.0,0.12,0.06,0.0,0.02,0.03,1.0,1.0,0.99,1.0,1.0,1.0,0.0,0.0,0.0
type,strict,0.0,0.12,0.06,0.0,0.02,0.03,1.0,1.0,0.99,1.0,1.0,1.0,0.0,0.0,0.0
