variant,align_mode,fail_bucket,fail_reason,count,variant_crashes,share_within_variant
address_split,strict,Schema,STRICT_SCHEMA_FAIL,54,57,0.95
address_split,stability,Unknown,UNKNOWN,3,3,1.0
address_split,strict,Unknown,UNKNOWN,3,57,0.05
drop,strict,Schema,STRICT_SCHEMA_FAIL,383,387,0.99
drop,stability,Unknown,UNKNOWN,4,4,1.0
drop,strict,Unknown,UNKNOWN,4,387,0.01
meaning,strict,Schema,TYPE_CONVERSION_ERROR,113,168,0.67
meaning,stability,Schema,TYPE_CONVERSION_ERROR,93,136,0.68
meaning,stability,Unknown,UNKNOWN,40,136,0.29
meaning,strict,Unknown,UNKNOWN,40,168,0.24
meaning,strict,Resource,OOM,10,168,0.06
meaning,strict,Schema,STRICT_SCHEMA_FAIL,5,168,0.03
meaning,stability,Resource,OOM,3,136,0.02
rename,strict,Schema,STRICT_SCHEMA_FAIL,340,512,0.66
rename,stability,Unknown,UNKNOWN,172,172,1.0
rename,strict,Unknown,UNKNOWN,172,512,0.34
type,strict,Schema,STRICT_SCHEMA_FAIL,7,10,0.7
type,stability,Schema,TYPE_CONVERSION_ERROR,3,3,1.0
type,strict,Schema,TYPE_CONVERSION_ERROR,3,10,0.3
